Sensitive_Strain	Supernatant	Concentration	Tech_repl	Biol_repl	Plate_number	control	AUC	normAUC	fConcentration
B. thetaiotamicron	B. vulgatus pSG67#2	10	tech2	biol2	plate8	FALSE	8.978829389788295	0.6735491367825686	10
B. thetaiotamicron	B. vulgatus pSG67#2	10	tech2	biol3	plate5	FALSE	15.547530095475302	1.0126965577917826	10
B. thetaiotamicron	B. vulgatus pSG70#2	0	tech1	biol1	plate8	TRUE	15.138225255972696	0.9997383815558046	0
B. thetaiotamicron	B. vulgatus pSG70#2	0	tech1	biol2	plate8	TRUE	13.919795221843003	1.0441969268873188	0
B. thetaiotamicron	B. vulgatus pSG70#2	0	tech1	biol3	plate5	TRUE	15.149317406143345	0.9867587646324149	0
B. thetaiotamicron	B. vulgatus pSG70#2	0	tech2	biol1	plate8	TRUE	15.035836177474403	0.9929765392727082	0
B. thetaiotamicron	B. vulgatus pSG70#2	0	tech2	biol2	plate8	TRUE	13.746587030716723	1.0312036710237584	0
B. thetaiotamicron	B. vulgatus pSG70#2	0	tech2	biol3	plate5	TRUE	15.390784982935154	1.0024868823677555	0
B. thetaiotamicron	B. vulgatus pSG70#2	5	tech1	biol1	plate8	FALSE	3.9812286689419802	0.2629229674410656	5
B. thetaiotamicron	B. vulgatus pSG70#2	5	tech1	biol2	plate8	FALSE	0.5409556313993173	0.040579922253681504	5
B. thetaiotamicron	B. vulgatus pSG70#2	5	tech1	biol3	plate5	FALSE	-0.06825938566552883	-0.004446111020590988	5
B. thetaiotamicron	B. vulgatus pSG70#2	5	tech2	biol1	plate8	FALSE	0.22354948805460778	0.014763355651427185	5
B. thetaiotamicron	B. vulgatus pSG70#2	5	tech2	biol2	plate8	FALSE	0.885665529010239	0.06643842160776248	5
B. thetaiotamicron	B. vulgatus pSG70#2	5	tech2	biol3	plate5	FALSE	-0.1800341296928325	-0.011726617816808744	5
B. thetaiotamicron	B. vulgatus pSG70#2	10	tech1	biol1	plate8	FALSE	-0.1885665529010236	-0.012453059538035873	10
B. thetaiotamicron	B. vulgatus pSG70#2	10	tech1	biol2	plate8	FALSE	-0.26706484641638195	-0.020033936380760724	10
B. thetaiotamicron	B. vulgatus pSG70#2	10	tech1	biol3	plate5	FALSE	-0.1766211604095562	-0.011504312265779203	10
B. thetaiotamicron	B. vulgatus pSG70#2	10	tech2	biol1	plate8	FALSE	-0.21843003412969259	-0.014425263537272331	10
B. thetaiotamicron	B. vulgatus pSG70#2	10	tech2	biol2	plate8	FALSE	-0.1015358361774745	-0.00761673619588029	10
B. thetaiotamicron	B. vulgatus pSG70#2	10	tech2	biol3	plate5	FALSE	-0.08532423208191134	-0.005557638775738754	10
B. thetaiotamicron	MGAM	0	tech1	biol1	plate6	TRUE	14.53955523149836	0.9602018182378683	0
B. thetaiotamicron	MGAM	0	tech1	biol2	plate6	TRUE	12.584761210353628	0.9440490159539939	0
B. thetaiotamicron	MGAM	0	tech1	biol3	plate3	TRUE	14.191031717098069	0.9243403217853609	0
B. thetaiotamicron	MGAM	0	tech2	biol1	plate6	TRUE	14.589865111192127	0.9635243158788299	0
B. thetaiotamicron	MGAM	0	tech2	biol2	plate6	TRUE	12.435289828654758	0.9328363827981092	0
B. thetaiotamicron	MGAM	0	tech2	biol3	plate3	TRUE	14.908494349252644	0.9710726280401415	0
B. thetaiotamicron	MGAM	5	tech1	biol1	plate6	FALSE	-0.14874225300765567	-0.009823036503712195	5
B. thetaiotamicron	MGAM	5	tech1	biol2	plate6	FALSE	-0.04374772147284	-0.0032817462895272124	5
B. thetaiotamicron	MGAM	5	tech2	biol1	plate6	FALSE	-0.089682829019322	-0.0059227131860617776	5
B. thetaiotamicron	MGAM	5	tech2	biol2	plate6	FALSE	-0.13488880787458973	-0.010118717726042219	5
B. thetaiotamicron	MGAM	5	tech2	biol3	plate3	FALSE	-0.17353262850893156	-0.011303139114469276	5
B. thetaiotamicron	MGAM	10	tech1	biol1	plate6	FALSE	-0.08749544294568	-0.0057782567668895396	10
B. thetaiotamicron	MGAM	10	tech1	biol2	plate6	FALSE	-0.12395187750637979	-0.00929828115366042	10
B. thetaiotamicron	MGAM	10	tech1	biol3	plate3	FALSE	-0.049580751002552	-0.0032294683184198015	10
B. thetaiotamicron	MGAM	10	tech2	biol1	plate6	FALSE	-0.09843237331389	-0.006500538862750732	10
B. thetaiotamicron	MGAM	10	tech2	biol2	plate6	FALSE	-0.19540648924535153	-0.01465846675988818	10
B. thetaiotamicron	MGAM	10	tech2	biol3	plate3	FALSE	-0.09259934378417782	-0.0060315070064605	10
B. vulgatus	B. vulgatus	0	tech1	biol1	plate7	TRUE	17.531051964512038	1.0170021150727884	0
B. vulgatus	B. vulgatus	0	tech1	biol2	plate7	TRUE	16.196873679763414	1.0121867667620421	0
B. vulgatus	B. vulgatus	0	tech1	biol3	plate4	TRUE	16.6354034643008	1.018510301870942	0
B. vulgatus	B. vulgatus	0	tech2	biol1	plate7	TRUE	17.632446134347276	1.0228841400298319	0
B. vulgatus	B. vulgatus	0	tech2	biol2	plate7	TRUE	16.024503591043516	1.0014148902729476	0
B. vulgatus	B. vulgatus	0	tech2	biol3	plate4	TRUE	16.441909590198563	1.0066635495787617	0
B. vulgatus	B. vulgatus	5	tech1	biol1	plate7	FALSE	0.7055344317701733	0.04092909032609304	5
B. vulgatus	B. vulgatus	5	tech1	biol2	plate7	FALSE	3.994930291508238	0.24965407862960692	5
B. vulgatus	B. vulgatus	5	tech1	biol3	plate4	FALSE	0.3388255175327418	0.020744749647005675	5
B. vulgatus	B. vulgatus	5	tech2	biol1	plate7	FALSE	2.89142374313477	0.16773574502501842	5
B. vulgatus	B. vulgatus	5	tech2	biol2	plate7	FALSE	6.86354034643008	0.4289213368672371	5
B. vulgatus	B. vulgatus	5	tech2	biol3	plate4	FALSE	2.103084072665822	0.12876229893116495	5
B. vulgatus	B. vulgatus	10	tech1	biol1	plate7	FALSE	0.1833544571187158	0.010636661797319995	10
B. vulgatus	B. vulgatus	10	tech1	biol2	plate7	FALSE	2.070975918884664	0.12942092781750564	10
B. vulgatus	B. vulgatus	10	tech1	biol3	plate4	FALSE	1.3206590621039291	0.08085796433483759	10
B. vulgatus	B. vulgatus	10	tech2	biol1	plate7	FALSE	0.4419095901985639	0.02563582543778045	10
B. vulgatus	B. vulgatus	10	tech2	biol2	plate7	FALSE	1.757498943810731	0.1098308975358677	10
B. vulgatus	B. vulgatus	10	tech2	biol3	plate4	FALSE	0.11406844106463887	0.006983893272682715	10
B. vulgatus	B. vulgatus pempty	0	tech1	biol1	plate7	TRUE	17.092271293375394	0.9915478028328641	0
B. vulgatus	B. vulgatus pempty	0	tech1	biol2	plate7	TRUE	15.854889589905362	0.9908152492061593	0
B. vulgatus	B. vulgatus pempty	0	tech1	biol3	plate4	TRUE	16.48895899053628	1.0095441709621655	0
B. vulgatus	B. vulgatus pempty	0	tech2	biol1	plate7	TRUE	17.292586750788644	1.0031683972092564	0
B. vulgatus	B. vulgatus pempty	0	tech2	biol2	plate7	TRUE	15.798895899053628	0.9873160509026557	0
B. vulgatus	B. vulgatus pempty	0	tech2	biol3	plate4	TRUE	16.45820189274448	1.0076610533675834	0
B. vulgatus	B. vulgatus pempty	5	tech1	biol1	plate8	FALSE	0.3414826498422715	0.01980991088573942	5
B. vulgatus	B. vulgatus pempty	5	tech1	biol2	plate8	FALSE	5.415615141955835	0.3384365457768949	5
B. vulgatus	B. vulgatus pempty	5	tech1	biol3	plate5	FALSE	3.8966876971608833	0.23857651371360528	5
B. vulgatus	B. vulgatus pempty	5	tech2	biol1	plate8	FALSE	0.16167192429022093	0.00937882616992282	5
B. vulgatus	B. vulgatus pempty	5	tech2	biol2	plate8	FALSE	4.907728706624606	0.30669733862962245	5
B. vulgatus	B. vulgatus pempty	5	tech2	biol3	plate5	FALSE	4.644321766561514	0.28435075678191085	5
B. vulgatus	B. vulgatus pempty	10	tech1	biol1	plate8	FALSE	0.09700315457413257	0.005627295701953693	10
B. vulgatus	B. vulgatus pempty	10	tech1	biol2	plate8	FALSE	-0.049684542586750834	-0.00310492243832014	10
B. vulgatus	B. vulgatus pempty	10	tech2	biol1	plate8	FALSE	0.09858044164037862	0.005718796445074891	10
