strain	drug	conc	fConc	AUC	normAUCmon	vector
5001pSG70#1	Niclosamide	40	40	0.01206153846153847	0.01206153846153847	Pv2535
5001pSG70#2	Nifurtimox	40	40	0.049122812701395395	0.049122812701395395	Pv2535
5001pSG71#1	Nifurtimox	40	40	0.04167338223575126	0.04167338223575126	Pv2494
5001pSG71#2	Niclosamide	40	40	0.013513513513513476	0.013513513513513476	Pv2494
5001pSG72#1	Niclosamide	40	40	0.01048107374453322	0.01048107374453322	Pv0002
5001pSG72#4	Nifurtimox	40	40	0.011949728832763386	0.011949728832763386	Pv0002
5001pSG73#3	Niclosamide	40	40	0.014991060662032237	0.014991060662032237	Pv1973
5001pSG73#3	Nifurtimox	40	40	0.011039429187029647	0.011039429187029647	Pv1973
5001pSG75#2	Niclosamide	40	40	0.013178915184211284	0.013178915184211284	Ri C7GB41
5001pSG75#2	Nifurtimox	40	40	0.012682234900683325	0.012682234900683325	Ri C7GB41
5001pww3864	Nifurtimox	40	40	0.012096814278065113	0.012096814278065113	empty plasmid
5001pww3864#1	Niclosamide	40	40	0.0133446663833404	0.0133446663833404	empty plasmid
