strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
P. merdae	C. comes	5	Niclosamide	E7	tech1	biol2	plate6	21	1.1023086654016445	1.1017119838872105	1.1017119838872105
P. merdae	C. comes	5	Niclosamide	E7	tech1	biol3	plate6	22	1.1392869043652116	1.1335436382754995	1.1335436382754995
P. merdae	C. comes	5	Niclosamide	E9	tech1	biol1	plate1	66	1.0330944625407166	1.0291005291005293	1.0291005291005293
P. merdae	C. comes	5	Niclosamide	F7	tech2	biol1	plate6	20	1.1439048239895697	1.1012526096033406	1.1012526096033406
P. merdae	C. comes	5	Niclosamide	F7	tech2	biol2	plate6	21	1.0906072106261857	1.0775427995971802	1.0775427995971802
P. merdae	C. comes	5	Niclosamide	F7	tech2	biol3	plate6	22	1.1426191269576809	1.1272344900105153	1.1272344900105153
P. merdae	C. comes	5	Niclosamide	F9	tech2	biol1	plate1	66	1.0448208469055376	1.0361552028218697	1.0361552028218697
P. merdae	C. comes	5	Niclosamide	G5	tech1	biol1	plate3	48	1.044721630666261	0.9482439926062844	0.9482439926062844
P. merdae	C. comes	5	Niclosamide	G5	tech1	biol2	plate3	50	1.1560718358038768	1.0136363636363634	1.0136363636363634
P. merdae	C. comes	5	Niclosamide	G5	tech1	biol3	plate3	52	1.0545732095153284	0.9036269430051813	0.9036269430051813
P. merdae	C. comes	5	Niclosamide	G7	tech3	biol1	plate6	20	1.095013037809648	1.072025052192067	1.072025052192067
P. merdae	C. comes	5	Niclosamide	G7	tech3	biol2	plate6	21	1.1299810246679316	1.0996978851963748	1.0996978851963748
P. merdae	C. comes	5	Niclosamide	G7	tech3	biol3	plate6	22	1.1729423525491505	1.1545741324921135	1.1545741324921135
P. merdae	C. comes	5	Niclosamide	G9	tech3	biol1	plate1	66	1.0502931596091205	1.0379188712522047	1.0379188712522047
P. merdae	C. comes	5	Niclosamide	H5	tech2	biol1	plate3	48	1.126407058107697	0.9889094269870607	0.9889094269870607
P. merdae	C. comes	5	Niclosamide	H5	tech2	biol2	plate3	50	1.1800171037628278	1.017272727272727	1.017272727272727
P. merdae	C. comes	5	Niclosamide	H5	tech2	biol3	plate3	52	1.1143620404528682	0.9512953367875647	0.9512953367875647
P. merdae	C. comes	10	Niclosamide	A8	tech1	biol1	plate10	178	0.00513855753349239	-0.0018231540565177774	-0.012762078395624443
P. merdae	C. comes	10	Niclosamide	A8	tech1	biol2	plate10	181	0.001710976572782313	-0.004757373929590843	-0.006660323501427191
P. merdae	C. comes	10	Niclosamide	A8	tech1	biol3	plate7	183	0.005062953833855177	0.002862595419847331	-0.004770992366412218
P. merdae	C. comes	10	Niclosamide	B8	tech2	biol1	plate10	178	0.006362023612895317	-0.00729261622607111	-0.01823154056517775
P. merdae	C. comes	10	Niclosamide	B8	tech2	biol2	plate10	181	0.002237430902869169	9.514747859181739e-4	-0.004757373929590843
P. merdae	C. comes	10	Niclosamide	B8	tech2	biol3	plate7	183	0.002265005662514138	-0.002862595419847331	-0.01240458015267174
P. merdae	C. comes	10	Niclosamide	E6	tech1	biol1	plate6	20	1.3904823989569755	1.2515657620041754	1.2515657620041754
P. merdae	C. comes	10	Niclosamide	E6	tech1	biol2	plate6	21	1.1029411764705883	1.1057401812688823	1.1057401812688823
P. merdae	C. comes	10	Niclosamide	E6	tech1	biol3	plate6	22	1.129123625458181	1.1272344900105153	1.1272344900105153
P. merdae	C. comes	10	Niclosamide	F6	tech2	biol1	plate6	20	1.128748370273794	1.0929018789144052	1.0929018789144052
P. merdae	C. comes	10	Niclosamide	F6	tech2	biol2	plate6	21	1.0615117014547752	1.0654582074521652	1.0654582074521652
P. merdae	C. comes	10	Niclosamide	F6	tech2	biol3	plate6	22	1.149616794401866	1.135646687697161	1.135646687697161
P. merdae	C. comes	10	Niclosamide	G6	tech1	biol1	plate3	48	1.0710374201399453	0.9630314232902031	0.9630314232902031
P. merdae	C. comes	10	Niclosamide	G6	tech1	biol2	plate3	50	1.1455245153933864	1.019090909090909	1.019090909090909
P. merdae	C. comes	10	Niclosamide	G6	tech1	biol3	plate3	52	1.1151253021244114	0.9388601036269429	0.9388601036269429
P. merdae	C. comes	10	Niclosamide	G6	tech3	biol1	plate6	20	1.1404823989569752	1.0908141962421711	1.0908141962421711
P. merdae	C. comes	10	Niclosamide	G6	tech3	biol2	plate6	21	1.112270714737508	1.095669687814703	1.095669687814703
P. merdae	C. comes	10	Niclosamide	G6	tech3	biol3	plate6	22	1.1719426857714097	1.1482649842271295	1.1482649842271295
P. merdae	C. comes	10	Niclosamide	H6	tech2	biol1	plate3	48	1.1702160024338304	0.9999999999999998	0.9999999999999998
P. merdae	C. comes	10	Niclosamide	H6	tech2	biol2	plate3	50	1.1831527936145951	1.0245454545454544	1.0245454545454544
P. merdae	C. comes	10	Niclosamide	H6	tech2	biol3	plate3	52	1.186617478692278	0.955440414507772	0.955440414507772
P. merdae	C. perfringens	0	Niclosamide	A3	tech1	biol1	plate10	178	1.0137988960883129	1.000911577028259	1.000911577028259
P. merdae	C. perfringens	0	Niclosamide	B3	tech2	biol1	plate10	178	0.9862011039116871	1.000911577028259	1.000911577028259
P. merdae	C. perfringens	0	Niclosamide	E9	tech1	biol1	plate5	20	0.9676073960795217	0.9885496183206107	0.9885496183206107
P. merdae	C. perfringens	0	Niclosamide	E9	tech1	biol2	plate5	21	0.9820798645407084	1.0027598896044156	1.0027598896044156
P. merdae	C. perfringens	0	Niclosamide	E9	tech1	biol3	plate5	22	0.9795491864457382	0.9452449567723343	0.9452449567723343
P. merdae	C. perfringens	0	Niclosamide	F9	tech2	biol1	plate5	20	1	1.0038167938931297	1.0038167938931297
P. merdae	C. perfringens	0	Niclosamide	F9	tech2	biol2	plate5	21	1	1.0009199632014718	1.0009199632014718
P. merdae	C. perfringens	0	Niclosamide	F9	tech2	biol3	plate5	22	1.007314524555904	0.9932756964457253	0.9932756964457253
P. merdae	C. perfringens	0	Niclosamide	G1	tech1	biol1	plate4	48	0.9861060329067641	1.016052880075543	1.016052880075543
P. merdae	C. perfringens	0	Niclosamide	G1	tech1	biol2	plate4	50	0.983235002044512	0.9972502291475711	0.9972502291475711
P. merdae	C. perfringens	0	Niclosamide	G1	tech1	biol3	plate4	52	0.9800249687890138	1.061965811965812	1.061965811965812
P. merdae	C. perfringens	0	Niclosamide	G9	tech3	biol1	plate5	20	1.029890170999583	1.0209923664122138	1.0209923664122138
P. merdae	C. perfringens	0	Niclosamide	G9	tech3	biol2	plate5	21	1.0167913080287851	1.0064397424103033	1.0064397424103033
P. merdae	C. perfringens	0	Niclosamide	G9	tech3	biol3	plate5	22	1	0.9606147934678195	0.9606147934678195
P. merdae	C. perfringens	0	Niclosamide	H1	tech2	biol1	plate4	48	1.0138939670932359	1.0122757318224742	1.0122757318224742
P. merdae	C. perfringens	0	Niclosamide	H1	tech2	biol2	plate4	50	1.016764997955488	1.015582034830431	1.015582034830431
P. merdae	C. perfringens	0	Niclosamide	H1	tech2	biol3	plate4	52	1.0199750312109863	1.0662393162393162	1.0662393162393162
P. merdae	C. perfringens	5	Niclosamide	A4	tech1	biol1	plate10	178	0.00443964482841373	0.0018231540565177774	-0.010938924339106664
P. merdae	C. perfringens	5	Niclosamide	B4	tech2	biol1	plate10	178	0.00635949124070075	-0.0018231540565177774	-0.01458523245214222
P. merdae	C. perfringens	5	Niclosamide	E11	tech1	biol1	plate5	20	0.8801612678993466	0.950381679389313	0.950381679389313
P. merdae	C. perfringens	5	Niclosamide	E11	tech1	biol2	plate5	21	0.3702553972061521	0.5998160073597056	0.5998160073597056
P. merdae	C. perfringens	5	Niclosamide	E11	tech1	biol3	plate5	22	0.7965367965367965	0.8914505283381364	0.8914505283381364
P. merdae	C. perfringens	5	Niclosamide	F11	tech2	biol1	plate5	20	0.910468511052412	0.9751908396946565	0.9751908396946565
P. merdae	C. perfringens	5	Niclosamide	F11	tech2	biol2	plate5	21	0.39367856638916326	0.6163753449862004	0.6163753449862004
P. merdae	C. perfringens	5	Niclosamide	F11	tech2	biol3	plate5	22	0.8138528138528139	0.9068203650336215	0.9068203650336215
P. merdae	C. perfringens	5	Niclosamide	G11	tech3	biol1	plate5	20	0.9332684554427916	0.982824427480916	0.982824427480916
P. merdae	C. perfringens	5	Niclosamide	G11	tech3	biol2	plate5	21	0.417807252716241	0.6476540938362464	0.6476540938362464
P. merdae	C. perfringens	5	Niclosamide	G11	tech3	biol3	plate5	22	0.8216151664427527	0.8895292987512008	0.8895292987512008
P. merdae	C. perfringens	5	Niclosamide	G2	tech1	biol1	plate4	48	0.4992078001218768	0.8479697828139755	0.8479697828139755
P. merdae	C. perfringens	5	Niclosamide	G2	tech1	biol2	plate4	50	0.01553829078801333	0.038496791934005486	0.038496791934005486
P. merdae	C. perfringens	5	Niclosamide	G2	tech1	biol3	plate4	52	0.7868735509184949	0.9508547008547008	0.9508547008547008
P. merdae	C. perfringens	5	Niclosamide	H2	tech2	biol1	plate4	48	0.5624619134673979	0.9027384324834751	0.9027384324834751
P. merdae	C. perfringens	5	Niclosamide	H2	tech2	biol2	plate4	50	0.013785851977335136	0.05866177818515124	0.05866177818515124
P. merdae	C. perfringens	5	Niclosamide	H2	tech2	biol3	plate4	52	0.8580345996076334	0.9978632478632479	0.9978632478632479
P. merdae	C. perfringens	10	Niclosamide	A5	tech1	biol1	plate10	178	0.0032397408207343386	-0.010938924339106664	-0.020054694621695526
P. merdae	C. perfringens	10	Niclosamide	B5	tech2	biol1	plate10	178	0.003119750419966394	-0.00729261622607111	-0.01823154056517775
P. merdae	C. perfringens	10	Niclosamide	E10	tech1	biol1	plate5	20	0.005004865841790634	-0.011450381679389323	-0.015267175572519097
P. merdae	C. perfringens	10	Niclosamide	E10	tech1	biol2	plate5	21	0.001834344574573164	-0.0018399264029438326	-0.005519779208831599
P. merdae	C. perfringens	10	Niclosamide	E10	tech1	biol3	plate5	22	0.0035826242722794494	-0.021133525456291994	-0.024975984630163275
P. merdae	C. perfringens	10	Niclosamide	F10	tech2	biol1	plate5	20	0.006951202558042547	-0.009541984732824436	-0.01335877862595421
P. merdae	C. perfringens	10	Niclosamide	F10	tech2	biol2	plate5	21	0.004938620008466211	-0.009199632014719367	-0.014719411223551018
P. merdae	C. perfringens	10	Niclosamide	F10	tech2	biol3	plate5	22	0.006568144499178988	0.005763688760806922	0
P. merdae	C. perfringens	10	Niclosamide	G10	tech3	biol1	plate5	20	0.005421937995273187	-0.011450381679389323	-0.017175572519083984
P. merdae	C. perfringens	10	Niclosamide	G10	tech3	biol2	plate5	21	0.003809792577959648	-0.0018399264029438326	-0.007359705611775483
P. merdae	C. perfringens	10	Niclosamide	G10	tech3	biol3	plate5	22	0.005224660397074182	0.011527377521613844	0.011527377521613844
P. merdae	C. perfringens	10	Niclosamide	G3	tech1	biol1	plate4	48	0.014137720901889106	-0.0018885741265344683	-0.024551463644948087
P. merdae	C. perfringens	10	Niclosamide	G3	tech1	biol2	plate4	50	0.009463169577662257	0.007332722273143911	-0.00916590284142989
P. merdae	C. perfringens	10	Niclosamide	G3	tech1	biol3	plate4	52	0.014624576422329238	-0.01495726495726497	-0.02777777777777774
P. merdae	C. perfringens	10	Niclosamide	H3	tech2	biol1	plate4	48	0.010968921389396721	-0.013220018885741277	-0.020774315391879152
P. merdae	C. perfringens	10	Niclosamide	H3	tech2	biol2	plate4	50	0.007477072258893633	0	-0.014665444546287822
P. merdae	C. perfringens	10	Niclosamide	H3	tech2	biol3	plate4	52	0.004280363830925633	0	-0.004273504273504277
P. merdae	E. coli ED1a	0	Niclosamide	C9	tech1	biol1	plate2	200	0.6661636224195637	0.6074866310160427	0.6074866310160427
P. merdae	E. coli ED1a	0	Niclosamide	C9	tech1	biol2	plate4	200	0.9716605511749551	0.9773950484391819	0.9773950484391819
P. merdae	E. coli ED1a	0	Niclosamide	C9	tech1	biol3	plate6	200	1.0770462789290365	1.0126903553299493	1.0126903553299493
P. merdae	E. coli ED1a	0	Niclosamide	D9	tech2	biol1	plate2	200	0.67888495847881	0.6074866310160427	0.6074866310160427
P. merdae	E. coli ED1a	0	Niclosamide	D9	tech2	biol2	plate4	200	1.0283394488250448	1.0226049515608182	1.0226049515608182
P. merdae	E. coli ED1a	0	Niclosamide	D9	tech2	biol3	plate6	200	1.0770462789290365	1.0050761421319796	1.0050761421319796
P. merdae	E. coli ED1a	0	Niclosamide	E8	tech1	biol1	plate6	20	0.9872535690006798	0.9592901878914405	0.9592901878914405
P. merdae	E. coli ED1a	0	Niclosamide	E8	tech1	biol2	plate6	21	0.9898819561551433	0.9607250755287009	0.9607250755287009
P. merdae	E. coli ED1a	0	Niclosamide	E8	tech1	biol3	plate6	22	0.9953596287703018	0.9610935856992638	0.9610935856992638
P. merdae	E. coli ED1a	0	Niclosamide	F8	tech2	biol1	plate6	20	1	0.9676409185803757	0.9676409185803757
P. merdae	E. coli ED1a	0	Niclosamide	F8	tech2	biol2	plate6	21	1	0.9707955689828801	0.9707955689828801
P. merdae	E. coli ED1a	0	Niclosamide	F8	tech2	biol3	plate6	22	1	0.9484752891692955	0.9484752891692955
P. merdae	E. coli ED1a	0	Niclosamide	G7	tech1	biol1	plate4	48	0.936479742874059	0.8800755429650615	0.8800755429650615
P. merdae	E. coli ED1a	0	Niclosamide	G7	tech1	biol2	plate4	50	0.963389493139973	0.9092575618698443	0.9092575618698443
P. merdae	E. coli ED1a	0	Niclosamide	G7	tech1	biol3	plate4	52	0.9499710815500289	0.7350427350427351	0.7350427350427351
P. merdae	E. coli ED1a	0	Niclosamide	G8	tech3	biol1	plate6	20	1.043507817811013	0.9906054279749478	0.9906054279749478
P. merdae	E. coli ED1a	0	Niclosamide	G8	tech3	biol2	plate6	21	1.0443507588532883	0.9848942598187311	0.9848942598187311
P. merdae	E. coli ED1a	0	Niclosamide	G8	tech3	biol3	plate6	22	1.031947171158308	0.9610935856992638	0.9610935856992638
P. merdae	E. coli ED1a	0	Niclosamide	H7	tech2	biol1	plate4	48	1.063520257125941	0.8857412653446649	0.8857412653446649
P. merdae	E. coli ED1a	0	Niclosamide	H7	tech2	biol2	plate4	50	1.036610506860027	0.931255728689276	0.931255728689276
P. merdae	E. coli ED1a	0	Niclosamide	H7	tech2	biol3	plate4	52	1.050028918449971	0.7841880341880343	0.7841880341880343
P. merdae	E. coli ED1a	5	Niclosamide	C10	tech1	biol1	plate2	200	0.004654147338748703	0.0021390374331550824	-0.0021390374331550824
P. merdae	E. coli ED1a	5	Niclosamide	C10	tech1	biol2	plate4	200	0.0034350847060660456	0	-0.017222820236813735
P. merdae	E. coli ED1a	5	Niclosamide	C10	tech1	biol3	plate6	200	0.008835792409604136	-0.0025380710659898497	-0.012690355329949249
P. merdae	E. coli ED1a	5	Niclosamide	D10	tech2	biol1	plate2	200	0.0038784561156239186	-0.0021390374331550824	-0.004278074866310165
P. merdae	E. coli ED1a	5	Niclosamide	D10	tech2	biol2	plate4	200	0.007026309626044103	0.012917115177610346	-0.010764262648008562
P. merdae	E. coli ED1a	5	Niclosamide	D10	tech2	biol3	plate6	200	0.007363160341336664	-0.0076142131979695495	-0.01776649746192888
P. merdae	E. coli ED1a	5	Niclosamide	E10	tech1	biol1	plate6	20	0.6801495581237255	0.8820459290187893	0.8820459290187893
P. merdae	E. coli ED1a	5	Niclosamide	E10	tech1	biol2	plate6	21	0.049409780775716686	0.12487411883182276	0.12487411883182276
P. merdae	E. coli ED1a	5	Niclosamide	E10	tech1	biol3	plate6	22	0.15170444404783148	0.3238696109358569	0.3238696109358569
P. merdae	E. coli ED1a	5	Niclosamide	F10	tech2	biol1	plate6	20	0.6996940856560163	0.8966597077244258	0.8966597077244258
P. merdae	E. coli ED1a	5	Niclosamide	F10	tech2	biol2	plate6	21	0.0738617200674536	0.18932527693857	0.18932527693857
P. merdae	E. coli ED1a	5	Niclosamide	F10	tech2	biol3	plate6	22	0.134392289844726	0.29863301787592	0.29863301787592
P. merdae	E. coli ED1a	5	Niclosamide	G10	tech3	biol1	plate6	20	0.7516995241332427	0.9258872651356993	0.9258872651356993
P. merdae	E. coli ED1a	5	Niclosamide	G10	tech3	biol2	plate6	21	0.08549747048903876	0.21953675730110772	0.21953675730110772
P. merdae	E. coli ED1a	5	Niclosamide	G10	tech3	biol3	plate6	22	0.1511690165982509	0.33228180862250256	0.33228180862250256
P. merdae	E. coli ED1a	5	Niclosamide	G8	tech1	biol1	plate4	48	0.40463503340945617	0.6081208687440982	0.6081208687440982
P. merdae	E. coli ED1a	5	Niclosamide	G8	tech1	biol2	plate4	50	0.3848723963887111	0.6434463794683777	0.6434463794683777
P. merdae	E. coli ED1a	5	Niclosamide	G8	tech1	biol3	plate4	52	0.0685367264314632	0.09615384615384617	0.09615384615384617
P. merdae	E. coli ED1a	5	Niclosamide	H8	tech2	biol1	plate4	48	0.45352279455299	0.6647780925401323	0.6647780925401323
P. merdae	E. coli ED1a	5	Niclosamide	H8	tech2	biol2	plate4	50	0.40591455178787234	0.6654445462878095	0.6654445462878095
P. merdae	E. coli ED1a	5	Niclosamide	H8	tech2	biol3	plate4	52	0.0873337189126663	0.13675213675213674	0.13675213675213674
P. merdae	E. coli ED1a	10	Niclosamide	C11	tech1	biol1	plate2	200	0.004809285583373658	0	-0.01069518716577541
P. merdae	E. coli ED1a	10	Niclosamide	C11	tech1	biol2	plate4	200	0.005621047700835358	-0.017222820236813735	-0.025834230355220634
P. merdae	E. coli ED1a	10	Niclosamide	C11	tech1	biol3	plate6	200	0.002761185128001276	-0.0076142131979695495	-0.020304568527918728
P. merdae	E. coli ED1a	10	Niclosamide	D11	tech2	biol2	plate4	200	0.007807010695604645	-0.006458557588805173	-0.01937567276641546
P. merdae	E. coli ED1a	10	Niclosamide	D11	tech2	biol3	plate6	200	0.0075472393498701995	0	-0.012690355329949249
P. merdae	E. coli ED1a	10	Niclosamide	E9	tech1	biol1	plate6	20	0.0016995241332426931	-0.005219206680584556	-0.0093945720250522
P. merdae	E. coli ED1a	10	Niclosamide	E9	tech1	biol2	plate6	21	0.0016863406408093985	0.0060422960725075026	0.0060422960725075026
P. merdae	E. coli ED1a	10	Niclosamide	E9	tech1	biol3	plate6	22	0.005889701945386402	0.0021030494216613526	-0.004206098843322822
P. merdae	E. coli ED1a	10	Niclosamide	F9	tech2	biol1	plate6	20	0.003059143439836849	-0.0010438413361169112	-0.005219206680584556
P. merdae	E. coli ED1a	10	Niclosamide	F9	tech2	biol2	plate6	21	0.008094435075885335	-0.004028197381671705	-0.012084592145015116
P. merdae	E. coli ED1a	10	Niclosamide	F9	tech2	biol3	plate6	22	0.0012493307156880254	0	-0.002103049421661411
P. merdae	E. coli ED1a	10	Niclosamide	G9	tech1	biol1	plate4	48	0.021145225408102875	0.01133144475920681	-0.020774315391879152
P. merdae	E. coli ED1a	10	Niclosamide	G9	tech1	biol2	plate4	50	0.01379114238999077	-0.0054995417048579335	-0.021998166819431734
P. merdae	E. coli ED1a	10	Niclosamide	G9	tech1	biol3	plate4	52	0.017929438982070566	-0.01495726495726497	-0.02777777777777774
P. merdae	E. coli ED1a	10	Niclosamide	G9	tech3	biol1	plate6	20	0.0042488103331067345	-0.005219206680584556	-0.011482254697286023
P. merdae	E. coli ED1a	10	Niclosamide	G9	tech3	biol2	plate6	21	0.0028667790893760563	-0.004028197381671705	-0.006042296072507558
P. merdae	E. coli ED1a	10	Niclosamide	G9	tech3	biol3	plate6	22	0.0042834195966446244	0.0021030494216613526	-0.002103049421661411
P. merdae	E. coli ED1a	10	Niclosamide	H9	tech2	biol1	plate4	48	0.019791930981984292	0	-0.020774315391879152
P. merdae	E. coli ED1a	10	Niclosamide	H9	tech2	biol2	plate4	50	0.013364612212980746	0.0036663611365719555	-0.010999083409715867
P. merdae	E. coli ED1a	10	Niclosamide	H9	tech2	biol3	plate4	52	0.01792943898207058	-0.0021367521367521387	-0.01495726495726497
P. merdae	E. rectale	0	Niclosamide	A5	tech1	biol1	plate9	178	1.0246865203761757	0.9747427502338635	0.9747427502338635
P. merdae	E. rectale	0	Niclosamide	A5	tech1	biol2	plate9	181	1.0075499432083919	0.9962476547842402	0.9962476547842402
P. merdae	E. rectale	0	Niclosamide	A5	tech1	biol3	plate6	183	1.007518796992481	1.003780718336484	1.003780718336484
P. merdae	E. rectale	0	Niclosamide	B5	tech2	biol1	plate9	178	0.9753134796238245	0.9971936389148738	0.9971936389148738
P. merdae	E. rectale	0	Niclosamide	B5	tech2	biol2	plate9	181	0.9924500567916081	1.0168855534709194	1.0168855534709194
P. merdae	E. rectale	0	Niclosamide	B5	tech2	biol3	plate6	183	0.9924812030075187	1.007561436672968	1.007561436672968
P. merdae	E. rectale	0	Niclosamide	E8	tech1	biol1	plate4	20	0.9969297153763171	1.024948024948025	1.024948024948025
P. merdae	E. rectale	0	Niclosamide	E8	tech1	biol2	plate4	21	0.9924703620634412	1	1
P. merdae	E. rectale	0	Niclosamide	E8	tech1	biol3	plate4	22	0.9953331187640811	0.9924026590693257	0.9924026590693257
P. merdae	E. rectale	0	Niclosamide	F8	tech2	biol1	plate4	20	1.0030702846236828	1.164241164241164	1.164241164241164
P. merdae	E. rectale	0	Niclosamide	F8	tech2	biol2	plate4	21	1	1.001934235976789	1.001934235976789
P. merdae	E. rectale	0	Niclosamide	F8	tech2	biol3	plate4	22	1	0.9810066476733144	0.9810066476733144
P. merdae	E. rectale	0	Niclosamide	G4	tech1	biol1	plate4	48	0.9854700854700854	0.9952785646836637	0.9952785646836637
P. merdae	E. rectale	0	Niclosamide	G4	tech1	biol2	plate4	50	0.9827687872633165	1.002749770852429	1.002749770852429
P. merdae	E. rectale	0	Niclosamide	G4	tech1	biol3	plate4	52	0.9559480740583104	0.9722222222222222	0.9722222222222222
P. merdae	E. rectale	0	Niclosamide	G8	tech3	biol2	plate4	21	1.0096123037487985	0.9922630560928433	0.9922630560928433
P. merdae	E. rectale	0	Niclosamide	G8	tech3	biol3	plate4	22	1.0376569037656904	0.9981006647673316	0.9981006647673316
P. merdae	E. rectale	0	Niclosamide	H4	tech2	biol1	plate4	48	1.0145299145299145	1.0047214353163363	1.0047214353163363
P. merdae	E. rectale	0	Niclosamide	H4	tech2	biol2	plate4	50	1.0172312127366836	1.0302474793767187	1.0302474793767187
P. merdae	E. rectale	0	Niclosamide	H4	tech2	biol3	plate4	52	1.0440519259416898	1.027777777777778	1.027777777777778
P. merdae	E. rectale	5	Niclosamide	A6	tech1	biol1	plate9	178	0.006530825496342745	0	-0.01496725912067354
P. merdae	E. rectale	5	Niclosamide	A6	tech1	biol2	plate9	181	0.006948620297988915	0.007504690431519706	0
P. merdae	E. rectale	5	Niclosamide	A6	tech1	biol3	plate6	183	0.00352231931179297	-0.005671077504725903	-0.013232514177693746
P. merdae	E. rectale	5	Niclosamide	B6	tech2	biol1	plate9	178	0.009665621734587218	-0.0018709073900841926	-0.01683816651075771
P. merdae	E. rectale	5	Niclosamide	B6	tech2	biol2	plate9	181	0.002538918955034411	0.005628517823639779	0
P. merdae	E. rectale	5	Niclosamide	B6	tech2	biol3	plate6	183	0.004606109869267765	-0.011342155009451805	-0.01890359168241965
P. merdae	E. rectale	5	Niclosamide	E10	tech1	biol1	plate4	20	0.2135922330097087	0.4719334719334719	0.4719334719334719
P. merdae	E. rectale	5	Niclosamide	E10	tech1	biol3	plate4	22	0.34164789185709693	0.6182336182336183	0.6182336182336183
P. merdae	E. rectale	5	Niclosamide	F10	tech2	biol1	plate4	20	0.27250850551821426	0.5384615384615385	0.5384615384615385
P. merdae	E. rectale	5	Niclosamide	F10	tech2	biol2	plate4	21	0.04982377443127205	0.09284332688588005	0.09284332688588005
P. merdae	E. rectale	5	Niclosamide	F10	tech2	biol3	plate4	22	0.3653041519150305	0.6372269705603039	0.6372269705603039
P. merdae	E. rectale	5	Niclosamide	G10	tech3	biol1	plate4	20	0.42270351008215085	0.6403326403326404	0.6403326403326404
P. merdae	E. rectale	5	Niclosamide	G10	tech3	biol2	plate4	21	0.17238064722845237	0.28626692456479685	0.28626692456479685
P. merdae	E. rectale	5	Niclosamide	G10	tech3	biol3	plate4	22	0.37158030254264557	0.6429249762583096	0.6429249762583096
P. merdae	E. rectale	5	Niclosamide	G5	tech1	biol1	plate4	48	1.015954415954416	1.0273843248347498	1.0273843248347498
P. merdae	E. rectale	5	Niclosamide	G5	tech1	biol2	plate4	50	0.14662910305968688	0.38496791934005503	0.38496791934005503
P. merdae	E. rectale	5	Niclosamide	G5	tech1	biol3	plate4	52	0.011704618003830559	-0.010683760683760693	-0.021367521367521326
P. merdae	E. rectale	5	Niclosamide	H5	tech2	biol1	plate4	48	1.0856125356125357	1.0462700661000945	1.0462700661000945
P. merdae	E. rectale	5	Niclosamide	H5	tech2	biol2	plate4	50	0.17073969730721353	0.44912923923006415	0.44912923923006415
P. merdae	E. rectale	5	Niclosamide	H5	tech2	biol3	plate4	52	0.008725260693764636	0.01495726495726497	0.008547008547008555
P. merdae	E. rectale	10	Niclosamide	A7	tech1	biol1	plate9	178	0.004963427377220473	-0.00748362956033677	-0.0187090739008419
P. merdae	E. rectale	10	Niclosamide	A7	tech1	biol2	plate9	181	0.004008819402685913	0.003752345215759853	-0.003752345215759853
P. merdae	E. rectale	10	Niclosamide	A7	tech1	biol3	plate6	183	0.0043351622298990426	0.0018903591682419675	-0.013232514177693746
P. merdae	E. rectale	10	Niclosamide	B7	tech2	biol1	plate9	178	0.0045715778474399085	-0.005612722170252577	-0.0187090739008419
P. merdae	E. rectale	10	Niclosamide	B7	tech2	biol2	plate9	181	0.005612347163760277	0.009380863039399633	0.0018761726078799265
P. merdae	E. rectale	10	Niclosamide	B7	tech2	biol3	plate6	183	0.0035223193117929897	-0.00756143667296787	-0.015122873345935714
P. merdae	E. rectale	10	Niclosamide	E9	tech1	biol1	plate4	20	0.005310762592315995	-0.004158004158004162	-0.012474012474012485
P. merdae	E. rectale	10	Niclosamide	E9	tech1	biol3	plate4	22	0.004184100418410046	9.496676163342839e-4	-0.006647673314339987
P. merdae	E. rectale	10	Niclosamide	F9	tech2	biol1	plate4	20	0.0801593228777695	0.39293139293139295	0.39293139293139295
P. merdae	E. rectale	10	Niclosamide	F9	tech2	biol2	plate4	21	0.010092918936238393	0.005802707930367509	-0.011605415860735019
P. merdae	E. rectale	10	Niclosamide	F9	tech2	biol3	plate4	22	0.003379465722561961	-0.004748338081671419	-0.010446343779677124
P. merdae	E. rectale	10	Niclosamide	G6	tech1	biol1	plate4	48	0.06809116809116811	0.17563739376770543	0.17563739376770543
P. merdae	E. rectale	10	Niclosamide	G6	tech1	biol2	plate4	50	0.013627727183384607	-0.010999083409715867	-0.029330889092575595
P. merdae	E. rectale	10	Niclosamide	G6	tech1	biol3	plate4	52	0.016386465205362858	0.021367521367521385	0.006410256410256415
P. merdae	E. rectale	10	Niclosamide	G9	tech3	biol1	plate4	20	0.04298398473155757	0.06237006237006237	0.06237006237006237
P. merdae	E. rectale	10	Niclosamide	G9	tech3	biol2	plate4	21	0.009612303748798467	-0.00386847195357834	-0.01353965183752419
P. merdae	E. rectale	10	Niclosamide	G9	tech3	biol3	plate4	22	0.003701319600901193	-0.006647673314339987	-0.01234567901234569
P. merdae	E. rectale	10	Niclosamide	H6	tech2	biol1	plate4	48	0.08105413105413108	0.22285174693106705	0.22285174693106705
P. merdae	E. rectale	10	Niclosamide	H6	tech2	biol2	plate4	50	0.008386293651313643	0.021998166819431734	0.010999083409715867
P. merdae	E. rectale	10	Niclosamide	H6	tech2	biol3	plate4	52	0.00978931687593106	0.008547008547008555	0
P. merdae	F. nucleatum	0	Niclosamide	A11	tech1	biol1	plate9	178	1.0001215657670801	1.0028063610851263	1.0028063610851263
