strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	C. comes	5	Niclosamide	F7	tech2	biol1	plate3	20	0.9809130263675718	1.023144453312051	1.023144453312051
B. thetaiotaomicron	C. comes	5	Niclosamide	F7	tech2	biol2	plate3	21	0.9577223851417399	1.0040064102564104	1.0040064102564104
B. thetaiotaomicron	C. comes	5	Niclosamide	F7	tech2	biol3	plate3	22	0.9922808764940239	1.018578352180937	1.018578352180937
B. thetaiotaomicron	C. comes	5	Niclosamide	G7	tech3	biol1	plate3	20	1.018693427784337	1.0279329608938548	1.0279329608938548
B. thetaiotaomicron	C. comes	5	Niclosamide	G7	tech3	biol2	plate3	21	0.9767839687194525	1.0072115384615385	1.0072115384615385
B. thetaiotaomicron	C. comes	5	Niclosamide	G7	tech3	biol3	plate3	22	1.0316235059760954	1.0282714054927302	1.0282714054927302
B. thetaiotaomicron	C. comes	10	Niclosamide	C8	tech1	biol1	plate7	178	0.004626630887387808	-0.004878048780487809	-0.009756097560975618
B. thetaiotaomicron	C. comes	10	Niclosamide	C8	tech1	biol2	plate7	181	0.0022831050228310523	0	-0.0033003300330033034
B. thetaiotaomicron	C. comes	10	Niclosamide	C8	tech1	biol3	plate4	183	6.931207762952699e-4	-0.006384676775738211	-0.006384676775738211
B. thetaiotaomicron	C. comes	10	Niclosamide	D8	tech2	biol1	plate7	178	0.007217544184324982	0.0016260162601626031	-0.006504065040650413
B. thetaiotaomicron	C. comes	10	Niclosamide	D8	tech2	biol2	plate7	181	0.0017123287671232902	-0.004950495049504932	-0.008250825082508236
B. thetaiotaomicron	C. comes	10	Niclosamide	D8	tech2	biol3	plate4	183	0.004851845434066843	0	-0.0031923383878691165
B. thetaiotaomicron	C. comes	10	Niclosamide	E6	tech1	biol1	plate3	20	0.8852813852813853	0.943335993615323	0.943335993615323
B. thetaiotaomicron	C. comes	10	Niclosamide	E6	tech1	biol3	plate3	22	0.9233067729083664	0.970113085621971	0.970113085621971
B. thetaiotaomicron	C. comes	10	Niclosamide	F6	tech2	biol1	plate3	20	0.9332939787485242	1.00877893056664	1.00877893056664
B. thetaiotaomicron	C. comes	10	Niclosamide	F6	tech2	biol2	plate3	21	0.8868523949169111	0.9639423076923076	0.9639423076923076
B. thetaiotaomicron	C. comes	10	Niclosamide	F6	tech2	biol3	plate3	22	0.9320219123505973	0.9717285945072697	0.9717285945072697
B. thetaiotaomicron	C. comes	10	Niclosamide	G6	tech3	biol1	plate3	20	0.9744195198740653	1.0103750997605745	1.0103750997605745
B. thetaiotaomicron	C. comes	10	Niclosamide	G6	tech3	biol2	plate3	21	1.1867057673509287	1.1161858974358974	1.0857371794871795
B. thetaiotaomicron	C. comes	10	Niclosamide	G6	tech3	biol3	plate3	22	0.9731075697211153	0.9878836833602583	0.9878836833602583
B. thetaiotaomicron	C. perfringens	0	Niclosamide	C3	tech1	biol1	plate7	178	1.0050196221593501	0.9528455284552845	0.9528455284552845
B. thetaiotaomicron	C. perfringens	0	Niclosamide	D3	tech2	biol1	plate7	178	0.9949803778406497	0.9544715447154472	0.9544715447154472
B. thetaiotaomicron	C. perfringens	0	Niclosamide	E9	tech1	biol1	plate2	20	0.9853320118929633	0.961082910321489	0.961082910321489
B. thetaiotaomicron	C. perfringens	0	Niclosamide	E9	tech1	biol2	plate2	21	0.9953014878621769	0.9228855721393036	0.9228855721393036
B. thetaiotaomicron	C. perfringens	0	Niclosamide	E9	tech1	biol3	plate2	22	0.9836765444500251	0.934966216216216	0.934966216216216
B. thetaiotaomicron	C. perfringens	0	Niclosamide	F9	tech2	biol1	plate2	20	1	0.9644670050761421	0.9644670050761421
B. thetaiotaomicron	C. perfringens	0	Niclosamide	F9	tech2	biol2	plate2	21	1	0.9129353233830846	0.9129353233830846
B. thetaiotaomicron	C. perfringens	0	Niclosamide	F9	tech2	biol3	plate2	22	1	0.9400337837837838	0.9400337837837838
B. thetaiotaomicron	C. perfringens	0	Niclosamide	G9	tech3	biol1	plate2	20	1.0069375619425172	0.9390862944162436	0.9390862944162436
B. thetaiotaomicron	C. perfringens	0	Niclosamide	G9	tech3	biol2	plate2	21	1.016966849386583	0.9162520729684909	0.9162520729684909
B. thetaiotaomicron	C. perfringens	0	Niclosamide	G9	tech3	biol3	plate2	22	1.0246107483676543	0.9417229729729728	0.9417229729729728
B. thetaiotaomicron	C. perfringens	5	Niclosamide	C4	tech1	biol1	plate7	178	0.0038331660125946916	0.008130081300813016	0.008130081300813016
B. thetaiotaomicron	C. perfringens	5	Niclosamide	D4	tech2	biol1	plate7	178	0.008031395454960307	0.008130081300813016	0.008130081300813016
B. thetaiotaomicron	C. perfringens	5	Niclosamide	E11	tech1	biol1	plate2	20	1.0132804757185332	1.0372250423011844	1.0372250423011844
B. thetaiotaomicron	C. perfringens	5	Niclosamide	E11	tech1	biol2	plate2	21	0.2469329156878099	0.4651741293532338	0.4651741293532338
B. thetaiotaomicron	C. perfringens	5	Niclosamide	E11	tech1	biol3	plate2	22	0.852084379708689	0.9890202702702702	0.9890202702702702
B. thetaiotaomicron	C. perfringens	5	Niclosamide	F11	tech2	biol1	plate2	20	1.0105054509415263	1.0321489001692048	1.0321489001692048
B. thetaiotaomicron	C. perfringens	5	Niclosamide	F11	tech2	biol2	plate2	21	0.30540328895849644	0.5364842454394694	0.5364842454394694
B. thetaiotaomicron	C. perfringens	5	Niclosamide	F11	tech2	biol3	plate2	22	0.8490708186840784	0.9839527027027027	0.9839527027027027
B. thetaiotaomicron	C. perfringens	5	Niclosamide	G11	tech3	biol1	plate2	20	1.0499504459861249	1.0879864636209815	1.0879864636209815
B. thetaiotaomicron	C. perfringens	5	Niclosamide	G11	tech3	biol2	plate2	21	0.3194988253719655	0.5563847429519072	0.5563847429519072
B. thetaiotaomicron	C. perfringens	5	Niclosamide	G11	tech3	biol3	plate2	22	0.8776996484178805	1.0008445945945947	1.0008445945945947
B. thetaiotaomicron	C. perfringens	10	Niclosamide	C5	tech1	biol1	plate7	178	0.004380761157251077	0	-0.006504065040650413
B. thetaiotaomicron	C. perfringens	10	Niclosamide	D5	tech2	biol1	plate7	178	0.005658483161449247	-0.006504065040650413	-0.011382113821138198
B. thetaiotaomicron	C. perfringens	10	Niclosamide	E10	tech1	biol1	plate2	20	0	-0.015228426395939054	-0.015228426395939054
B. thetaiotaomicron	C. perfringens	10	Niclosamide	E10	tech1	biol2	plate2	21	2.6102845210127944e-4	-0.010779436152570444	-0.012437810945273598
B. thetaiotaomicron	C. perfringens	10	Niclosamide	E10	tech1	biol3	plate2	22	0.006278252134605733	-0.004222972972972977	-0.005912162162162168
B. thetaiotaomicron	C. perfringens	10	Niclosamide	F10	tech2	biol1	plate2	20	0.002576808721506444	-0.013536379018612488	-0.015228426395939054
B. thetaiotaomicron	C. perfringens	10	Niclosamide	F10	tech2	biol2	plate2	21	0.0010441138084051169	-0.010779436152570444	-0.01409618573797675
